               CO2          CH4          N2O       CFC_11       CFC_12      CFC_113      HCFC_22       HFC125      HFC134a
YEARS                                                                                                                     
1850  4.314801e-04 4.470459e-07 4.143596e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1851  4.316774e-04 4.471344e-07 4.144659e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1852  4.319050e-04 4.475492e-07 4.145873e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1853  4.321023e-04 4.482350e-07 4.147239e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1854  4.322844e-04 4.489707e-07 4.148756e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1855  4.324210e-04 4.498556e-07 4.150426e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1856  4.325879e-04 4.506687e-07 4.152095e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1857  4.328156e-04 4.515813e-07 4.153613e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1858  4.330736e-04 4.526377e-07 4.154827e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1859  4.333467e-04 4.537661e-07 4.156952e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1860  4.336351e-04 4.548225e-07 4.159380e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1861  4.339234e-04 4.559785e-07 4.162112e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1862  4.341814e-04 4.574331e-07 4.164844e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1863  4.344394e-04 4.591699e-07 4.167120e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1864  4.346974e-04 4.610670e-07 4.169397e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1865  4.349554e-04 4.628867e-07 4.171825e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1866  4.352134e-04 4.648060e-07 4.174405e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1867  4.354714e-04 4.668193e-07 4.176834e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1868  4.357142e-04 4.686169e-07 4.179566e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1869  4.358963e-04 4.702098e-07 4.182146e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1870  4.360936e-04 4.714820e-07 4.184574e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1871  4.362909e-04 4.723448e-07 4.187306e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1872  4.365488e-04 4.730307e-07 4.190038e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1873  4.368524e-04 4.735506e-07 4.192618e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1874  4.371559e-04 4.744632e-07 4.195198e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1875  4.375049e-04 4.753758e-07 4.197778e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1876  4.378540e-04 4.761446e-07 4.200054e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1877  4.382030e-04 4.769854e-07 4.201876e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1878  4.385672e-04 4.779588e-07 4.204000e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
