! historical GHG data for CMIP6 
! source: /group_workspaces/jasmin2/tids/CMIP6_ANCIL/data/inputs4MIPs_2017-06-08/UoM/GHGConcentrations/CMIP/UoM-CMIP-1-2-0/yr/ 
 &THISFILE_SPECIFICATIONS 
 THISFILE_DATACOLUMNS    =          24, 
 THISFILE_FIRSTYEAR      =        1850, 
 THISFILE_LASTYEAR       =        2014, 
 THISFILE_ANNUALSTEPS    =           1, 
 THISFILE_FIRSTDATAROW   =          15, 
 THISFILE_UNITS          =  SEE ROW 13, 
 THISFILE_DATTYPE        =  RCPDAT 
/ 
   COLUMN:      1   2   3   4   5   6   7   8   9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24
   UNITS:      ppt   ppm   ppb   ppb   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt   ppt
   YEARS      DUMM0   CO2   CH4   N2O   HFC125   HFC134a   CFC_11   CFC_12   DUMM1   CFC_113   CFC_114   CFC_115   CARB_TET   MCF   HCFC_22   HCFC_141B   HCFC_142B   HALON1211   HALON1202   HALON1301   HALON2402   CH3BR   CH3CL   DUMM2
   1850    -0.0000e+00    2.8432e+02    8.0825e+02    2.7302e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1851    -0.0000e+00    2.8445e+02    8.0841e+02    2.7309e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1852    -0.0000e+00    2.8460e+02    8.0916e+02    2.7317e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1853    -0.0000e+00    2.8473e+02    8.1040e+02    2.7326e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1854    -0.0000e+00    2.8485e+02    8.1173e+02    2.7336e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1855    -0.0000e+00    2.8494e+02    8.1333e+02    2.7347e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1856    -0.0000e+00    2.8505e+02    8.1480e+02    2.7358e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
   1857    -0.0000e+00    2.8520e+02    8.1645e+02    2.7368e+02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    -0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.5000e-02    0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    4.4466e-03    0.0000e+00    0.0000e+00    0.0000e+00    5.3000e+00    4.5700e+02    -0.0000e+00
